0,tempC,tempC_Rmean=2,tempC_Rmean=3,tempC_Rmean=4,tempC_Rmean=8,tempC_Rmean=12,tempC_Rmean=24,tempC_Rmean=32,tempC_Rmean=48,tempC_Rmean=96,Expanding Mean 2 tempC,Expanding Mean 3 tempC,Expanding Mean 4 tempC,Expanding Mean 8 tempC,Expanding Mean 12 tempC,Expanding Mean 16 tempC,Expanding Mean 24 tempC,Expanding Mean 48 tempC,Expanding Mean 96 tempC
Expanding Mean 8 statusN,-0.3469457366874364,-0.35817043521501485,-0.3691779707201208,-0.3708312755468984,-0.3457282443669992,-0.2725618359284924,0.09298813812015526,0.3026791690949832,0.21624656715832827,0.051745583098741575,-0.3477289979055984,-0.3513340866913489,-0.3497651275188581,-0.35836024285761997,-0.3638449740037751,-0.3612816864622441,-0.3797022387599995,-0.3512464641081909,-0.3204941578897513
Expanding Mean 12 statusN,-0.3361353734997489,-0.3496336787825403,-0.3628714234939889,-0.3669692013447337,-0.3522392981288556,-0.28634932861108736,0.07311241709685327,0.29182663782370194,0.2269951273487255,0.05014256870878952,-0.3371299251236243,-0.3413918351819983,-0.3397813856350565,-0.34913831917531324,-0.3598830333826981,-0.3537821536989317,-0.3778780439034877,-0.3575491313445225,-0.32694668262615195
Expanding Mean 16 statusN,-0.3345891894992504,-0.35304346304749634,-0.3704813770833017,-0.3793991063703257,-0.37705325537212697,-0.3182232969678651,0.04538107776103208,0.2806548539465802,0.2454618590897705,0.04140214932647692,-0.3360747793845485,-0.3413626935646992,-0.3405594910192649,-0.3549071631708905,-0.36283813116158303,-0.3723729577381014,-0.3838521753802064,-0.3776137008509848,-0.349825564981933
Expanding Mean 24 statusN,-0.3118075884050786,-0.32558836931074897,-0.3392513334521343,-0.3445124775207804,-0.3401387539890737,-0.28891116205456896,0.03808587094556839,0.24985218250819274,0.2136712558518852,0.03053016050803755,-0.31284069611466553,-0.3168864956883893,-0.3155695413791643,-0.3264913306983179,-0.3351605133023817,-0.33581640368813953,-0.36213301308653023,-0.3590113743627228,-0.3306593607358333
Expanding Mean 48 statusN,-0.26422323267954223,-0.29903261128295544,-0.3338241625609443,-0.36096600324703537,-0.44004909113688667,-0.4558255246065018,-0.13790326486124338,0.1901817123141014,0.36587935173606895,-0.0015649228315709955,-0.2670298800806155,-0.27638769590670864,-0.2755863326556675,-0.30355494501909724,-0.3266648744796681,-0.34256155128257404,-0.39805759673454383,-0.4920117131262285,-0.4442525583266165
Expanding Mean 96 statusN,-0.23853735958542274,-0.2712736797837117,-0.3026230148444308,-0.3284182038606526,-0.4020575598760535,-0.4195590713222253,-0.1611798359523912,0.12723379759901005,0.32297313967137153,-0.02490172143571985,-0.2410928267534445,-0.24962802822974894,-0.2487533073299085,-0.2748567681552658,-0.29514752114323073,-0.30979352533295795,-0.3573265242319925,-0.4392611067518511,-0.4234170626267793
Expanding Mean 2 statusS,-0.10257161622994897,-0.10414397294661684,-0.10484757681691442,-0.10491483908616064,-0.09646864281220008,-0.08106533442671153,-0.008662770388310221,0.028803344281426783,0.015686506240213078,0.0035144063131091656,-0.1026672334886915,-0.10310540403322202,-0.1028340766314158,-0.1034716604337637,-0.10391116705993401,-0.10177486594867084,-0.10713420484964653,-0.09901981419110377,-0.10266716605404062
Expanding Mean 3 statusS,-0.1027396920074823,-0.10452922199351918,-0.10546506260268318,-0.10569805889696526,-0.0979345498706814,-0.08291563241091257,-0.010707588342606468,0.02758191318462556,0.015811862870423504,0.002309471122258025,-0.10283536050979973,-0.1034448494375118,-0.10303353079239676,-0.103846061658093,-0.10461904812252247,-0.10224570456088183,-0.10815179955994267,-0.10020126631961536,-0.10380903687471092
Expanding Mean 4 statusS,-0.10072075487585863,-0.10239773894766127,-0.10330633694259644,-0.1035261225598272,-0.0959538766395081,-0.0811724277105645,-0.010235593111611138,0.027308784153700152,0.016059769745177258,0.002947787449159813,-0.10082472831436827,-0.10130575681315064,-0.10106579621917074,-0.10179456968447874,-0.10259961732464057,-0.10015416699991392,-0.10600750246047017,-0.09804634971516728,-0.10104137121947647
Expanding Mean 8 statusS,-0.09862770654028244,-0.1009299397332586,-0.10224044183321417,-0.10321774845861542,-0.09813319323776364,-0.08482655930369275,-0.01631199047625602,0.022886713484893226,0.01607904091374646,0.0026487685886252203,-0.098753565287364,-0.0994729733920973,-0.099070025645533,-0.1004760871155392,-0.1021525131015616,-0.09898258110034824,-0.10582868898712587,-0.09723808751411996,-0.10037795279631724
