0,statusN_Rmean=12,statusS_Rmean=12,tempC_Rmean=12,windspeedMiles_Rmean=12,precipMM_Rmean=12,humidity_Rmean=12,visibility_Rmean=12,pressure_Rmean=12,cloudcover_Rmean=12,heatIndexC_Rmean=12,dewPointC_Rmean=12,windChillC_Rmean=12,windGustMiles_Rmean=12,feelsLikeC_Rmean=12,Expanding Mean 12 statusN,Expanding Mean 12 statusS,Expanding Mean 12 tempC,Expanding Mean 12 windspeedMiles,Expanding Mean 12 precipMM,Expanding Mean 12 humidity,Expanding Mean 12 visibility,Expanding Mean 12 pressure,Expanding Mean 12 cloudcover,Expanding Mean 12 heatIndexC,Expanding Mean 12 dewPointC,Expanding Mean 12 windChillC
windChillC_Rmean=2,-0.08825714035044901,-0.040009006202124026,0.6354609512582732,-0.31166048432663146,-0.376719281122052,-0.6452539095435336,0.3446338944104836,0.09271533922698856,-0.3169993582850676,0.6482524823085011,0.20698760383196604,0.6353084760085941,-0.4502373914390402,0.6482524823085011,-0.3498500959594191,-0.09809205412738878,0.989057757207756,0.034460915896340934,-0.0549470233787533,-0.910362571844926,0.08306662766087086,0.006966363015501951,-0.2160775118925186,0.9680073065570248,0.3504041724632519,0.9891085680610616
windGustMiles_Rmean=2,-0.1341955650116419,0.026324917287770824,0.16461510050233907,0.8250823409166996,0.4083698552440185,-0.10830583335984656,-0.2664541287520964,-0.4788275769679473,0.4335072297855873,0.1899199819245356,0.0937730355347147,0.1653148170564954,0.7717790341862517,0.1899199819245356,-0.08622325265153845,0.023415767931824302,-0.06063628598293835,0.9618583408551036,0.4914784515498651,0.1002746352568184,-0.4147720905672305,-0.4660899655074757,0.4180671142795668,-0.06765238941898594,-0.049402310277802085,-0.05968500567128799
feelsLikeC_Rmean=2,-0.06565749761687797,-0.03513141882036795,0.5711914234765714,-0.3298986058392415,-0.316911501293099,-0.5492304938799392,0.2791902989011586,0.05553251389559295,-0.2713652370563264,0.6132988309125484,0.30955214619840155,0.5711117145828449,-0.4613332124324144,0.6132988309125484,-0.34970248954423355,-0.09698022805063623,0.961350155119289,0.02120190425011096,0.005011398720495654,-0.8459678627307182,0.024872781127965125,-0.04251442051562998,-0.16504885918007636,0.9897672906243196,0.4976409803923057,0.961416172371728
tempC_Rmean=3,-0.13188330389374425,-0.047175864819278684,0.6965733219321014,-0.2761658811182533,-0.35182119682572954,-0.6939682650316706,0.3223824428643355,0.08971738315183315,-0.3129782696056939,0.7090038402098796,0.2397451435983909,0.6964565005594511,-0.4212165503421068,0.7090038402098796,-0.3628714234939889,-0.1001650394497215,0.9914126517418356,0.06217447930839126,-0.027336049499355232,-0.9067958255121146,0.05986138391926968,0.00929902421038563,-0.2101907579984992,0.9671325563772494,0.3492733598476493,0.9913525527348921
windspeedMiles_Rmean=3,-0.13609546695780386,0.0208533105955788,0.190284705038244,0.8143724889971116,0.3071979684819318,-0.14640812245917645,-0.1866661096958024,-0.4722615937779319,0.3604016549884727,0.21428796379113305,0.0824991499244452,0.1909577234408093,0.7329867546087733,0.21428796379113305,-0.13501983000767112,0.009501191546094056,0.044580984047122935,0.990623781411812,0.41153303810004654,-0.005393221720699122,-0.3391022004129912,-0.4705511525198973,0.3528113881050685,0.036732803813048616,-0.01893811900496845,0.045580997552202
precipMM_Rmean=3,-0.123584892442827,0.011827940426464937,0.14685552896971268,0.3692451045274111,0.7916264706624488,0.03840472042686043,-0.6575968738186916,-0.4150385592701944,0.5606259778371941,0.23074837540586546,0.4591174023039435,0.14743487526143834,0.3879238350268652,0.23074837540586546,-0.054572541955018816,0.004230404303836954,-0.0770037573936671,0.3918924494733553,0.9596807805224074,0.2595434268317282,-0.8001442953154915,-0.4050650154034656,0.5755468555704262,-0.0076960650909499205,0.34792384184915026,-0.07637202988089943
humidity_Rmean=3,0.09615161178920097,0.03923729324570397,-0.6246021512507287,0.296547731976472,0.5067861973853256,0.747780676766902,-0.4712887959084288,-0.192243109927902,0.3741205491068931,-0.5891006211420667,0.02813550541472621,-0.6242107587169743,0.43416704403049,-0.5891006211420667,0.3040211338824528,0.08066163561592994,-0.910692657514068,-0.025506684339762848,0.2059801465606219,0.9947192293532164,-0.21995409664627652,-0.10687527904637582,0.27347449828359915,-0.8474883656252542,-0.05990940350167762,-0.9104599892232328
visibility_Rmean=3,0.14434233035028987,-0.06257182751313291,-0.020433946301631468,-0.3033124669043073,-0.5679869559890723,-0.09028298836855912,0.632432149070174,0.17082223169928534,-0.40455784104628734,-0.09225071630041612,-0.30244598242955617,-0.02102166184466964,-0.3201526298421283,-0.09225071630041612,0.10558551157236852,-0.04011297732239753,0.16073765244851446,-0.31683240945025143,-0.6576943203251608,-0.2789478288936582,0.839142508765537,0.16608299256948975,-0.411708268315599,0.0995705765454545,-0.2296096202046713,0.1599259647208584
pressure_Rmean=3,-0.06353714594510318,0.0006758649467512981,-0.006334324737407297,-0.4075106515660439,-0.3665178485792572,-0.08426371730936108,0.1877615637972052,0.9551388961508028,-0.4266736904684887,-0.060628011340569,-0.2053158530479922,-0.00687087114874291,-0.37684537259265705,-0.060628011340569,-0.04474461623095567,0.001796137743959856,0.006954609457449122,-0.4845564274665486,-0.4464563174023249,-0.10926335740776537,0.3408595312694194,0.9963961195482828,-0.44408166289603423,-0.04583474576514872,-0.2078870060119961,0.006318971517397853
cloudcover_Rmean=3,-0.002153624925081185,-0.020263842823946242,-0.1365084878896013,0.2947792320024252,0.5211962196000461,0.21320233072531847,-0.3997620299730327,-0.4498795948021734,0.8508044538660637,-0.0687918062984913,0.18000450078177554,-0.13592390777099625,0.33068524544449235,-0.0687918062984913,0.031481799606468595,-0.013499100271399271,-0.2069506099778159,0.3581452355416221,0.5835453878460083,0.27623403230847204,-0.4541906507703466,-0.4449930944377455,0.9958165730340152,-0.15287147191167114,0.1010475497594124,-0.20608277740965253
